ID	CODA_UTF8	CODA	Egyptian-Word_UTF8	Egyptian-Word	Egyptian-POS-CHE	Egyptian-POS-LDC	MSA-Lemma_UTF8	MSA-Lemma	English-Equivalent	CALIMA_EGY_LEMMA	CALIMA_ALMOR_POS	SAMA_LEMMA	SAMA_POS
37096	صِيدَة	Siydap	صِيدَة	Siydap	vbn	NOUN	فَرِيسَة;;صَيْدَة;;غَنِيمَة	fariysap;;Sayodap;;ganiymap	prey	UNK	UNK	ganiymap_1	pos:noun
37097	صِير	Siyr	صِير	Siyr	adj	ADJ	صِير	Siyr	heavily salted	Siyr_1	pos:adj	UNK	UNK
37098	صِير	Siyr	صِير	Siyr	adj	ADJ	مُمَلَّح	mumal~aH	salty	Siyr_1	pos:adj	mumal~aH_1	pos:adj
37099	صِير	Siyr	صِير	Siyr	noun	NOUN	صِير	Siyr	salty	Siyr_1	pos:noun	UNK	UNK
37100	صِيرَة	Siyrap	صِيرَة	Siyrap	noun	NOUN	صِيرَة	Siyrap	a small fish	Siyrap_1	pos:noun	UNK	UNK
37101	صِيص	SiyS	صِيص	SiyS	adj	ADJ	أَخْضَر	>axoDar	green	SiyS_1	pos:adj	>axoDar_1	pos:adj
37102	صِيص	SiyS	صِيص	SiyS	adj	ADJ	حِصْرِم	HiSorim	unripe	SiyS_1	pos:adj	HiSorim_1	pos:noun
37103	صِيغَة	Siygap	صِيغَة	Siygap	noun	NOUN	صِيغَة	Siygap	form;;shape;;formula	Siygap_1	pos:noun	Siygap_1	pos:noun
37104	صِيغَة	Siygap	صِيغَة	Siygap	noun	NOUN	مَصاغ	maSAg	jewelry	Siygap_1	pos:noun	maSAg_1	pos:noun
37105	صِيغَة	Siygap	صِيغَة	Siygap	noun	NOUN	مْصُوغات	moSuwgAt	jewelry	Siygap_1	pos:noun	UNK	UNK
37106	صِيغَة	Siygap	صِيغَة	Siygap	noun	NOUN	نَمَط	namaT	style	Siygap_1	pos:noun	namaT_1	pos:noun
37107	صِيغَة	Siygap	صِيغَة	Siygap	noun	NOUN	هِيئَة;;صُورَة;;صِيغَة	hiy}ap;;Suwrap;;Siygap	form	Siygap_1	pos:noun	Siygap_1	pos:noun
37108	صِيغَة	Siygap	صِيغَة	Siygap	noun	NOUN	هِيئَة;;صُورَة;;صِيغَة	hiy}ap;;Suwrap;;Siygap	form	Siygap_1	pos:noun	Suwrap_2	pos:noun
37109	صِيغَة	Siygap	صِيغَة	Siygap	noun	NOUN	هِيئَة;;صُورَة;;صِيغَة	hiy}ap;;Suwrap;;Siygap	form	Siygap_1	pos:noun	UNK	UNK
37110	صِيف	Siyf	صِيف	Siyf	noun	NOUN	صَيْف	Sayof	summer	UNK	UNK	Sayof_1	pos:noun
37111	صِيفِيَّة	Siyfiy~ap	صِيفِيَّة	Siyfiy~ap	noun	NOUN	صَيْف	Sayof	a summer	Siyfiy~ap_1	pos:noun	Sayof_1	pos:noun
37112	صِين	Siyn	صِين	Siyn	noun+prop	NOUN_PROP	صِين	Siyn	China	Siyn_1	pos:noun_prop	Siyn_1	pos:noun_prop
37113	صِينِي	Siyniy	صِينِي	Siyniy	adj	ADJ	خَزَفِيّ	xazafiy~	porcelain	Siyniy_1	pos:adj	xazafiy~_1	pos:adj
37114	صِينِي	Siyniy	صِينِي	Siyniy	adj	ADJ	صِينِيّ	Siyniy~	a chinese	Siyniy_1	pos:adj	Siyniy~_1	pos:adj
37115	صِينِي	Siyniy	صِينِي	Siyniy	adj	ADJ	صِينِيّ	Siyniy~	chinese	Siyniy_1	pos:adj	Siyniy~_1	pos:adj
37116	صِينِي	Siyniy	صِينِي	Siyniy	noun	NOUN	صِينِيّ	Siyniy~	chinese	Siyniy_1	pos:noun	Siyniy~_1	pos:noun
37117	صِينِيَّة	Siyniy~ap	صِينِيَّة	Siyniy~ap	noun	NOUN	صِينِيَّة	Siyniy~ap	circular platform	Siyniy~ap_1	pos:noun	Siyniy~ap_1	pos:noun
37118	صِينِيَّة	Siyniy~ap	صِينِيَّة	Siyniy~ap	noun	NOUN	صِينِيَّة	Siyniy~ap	galley	Siyniy~ap_1	pos:noun	Siyniy~ap_1	pos:noun
37119	صِينِيَّة	Siyniy~ap	صِينِيَّة	Siyniy~ap	noun	NOUN	صِينِيَّة	Siyniy~ap	griddle	Siyniy~ap_1	pos:noun	Siyniy~ap_1	pos:noun
37120	صِينِيَّة	Siyniy~ap	صِينِيَّة	Siyniy~ap	noun	NOUN	صِينِيَّة	Siyniy~ap	oven pan	Siyniy~ap_1	pos:noun	Siyniy~ap_1	pos:noun
37121	صِينِيَّة	Siyniy~ap	صِينِيَّة	Siyniy~ap	noun	NOUN	صِينِيَّة	Siyniy~ap	paten	Siyniy~ap_1	pos:noun	Siyniy~ap_1	pos:noun
